tier_id,Platform,DAU,PUs,Revenue,ConversionRate,ARPU
Black Diamond,Android,3298,764,10453.830191903275,0.23165554881746514,3.1697483905103927
Black Diamond,Other,3146,1207,22713.51810683104,0.38366179275270185,7.219808679857292
Black Diamond,Web,6602,2044,27556.6801643152,0.30960315056043625,4.173989724979582
Black Diamond,iOS,8730,2808,32840.23016700867,0.3216494845360825,3.7617674876298586
Bronze,Android,3623640,14870,27707.90089293799,0.00410360852623329,0.0076464275957153546
Bronze,Other,501211,2029,4479.493644284376,0.004048195271053509,0.008937341048549166
Bronze,Web,804808,1375,2528.6503661376823,0.0017084820230415204,0.003141929958620792
Bronze,iOS,1800398,12107,25080.758864952157,0.006724624221977585,0.013930674698012416
Diamond,Android,490415,74107,363459.60084148706,0.15111079391943558,0.7411265985777088
Diamond,Other,80324,13242,83862.14064340036,0.1648573278223196,1.0440483621756929
Diamond,Web,478553,75344,400135.7954644107,0.15744128654506398,0.8361368447474171
Diamond,iOS,657754,113616,558810.2179718,0.172733271101354,0.849573272031489
Gold,Android,5715145,150351,352349.0959802805,0.026307469014346968,0.06165182090398065
Gold,Other,492383,17844,49857.40727044697,0.036240081400048335,0.10125736930488456
Gold,Web,4032499,79185,182060.59836184187,0.019636706667503202,0.04514833069068135
Gold,iOS,4476950,120976,291427.55030867027,0.027021968080947967,0.06509510946261858
Platinum,Android,1507967,154797,505984.4587177442,0.1026527768843748,0.33554080342457376
Platinum,Other,195675,22568,92139.32717112913,0.115334099910566,0.4708794029443165
Platinum,Web,1108188,110972,371303.25890102744,0.1001382436915036,0.3350543941109518
Platinum,iOS,1546694,155691,534065.2045391859,0.1006605055686516,0.3452946766064819
Royal Diamond,Android,84548,14504,105329.55189976828,0.17154752330037376,1.2457959017335511
Royal Diamond,Other,30393,7466,77459.63708945805,0.24564866910143784,2.5486012269094216
Royal Diamond,Web,115900,24907,192204.61194177112,0.21490077653149267,1.658365935649449
Royal Diamond,iOS,152269,33228,242435.18782152934,0.21821907282506617,1.5921506532618546
Silver,Android,11172331,53722,106234.82848931526,0.004808486250541628,0.009508743384824103
Silver,Other,1401222,7564,17012.611566513588,0.005398145333144927,0.012141267812319239
Silver,Web,7935156,16800,32858.508470477806,0.0021171606456130165,0.004140877440906997
Silver,iOS,8182389,36965,78091.76734639466,0.0045176292645094235,0.009543883497398455
